id	store_code	quantity	availability	price
33	11072484000919481729	0	out of stock	849.89 PLN
34	11072484000919481729	999	in stock	849.89 PLN
36	11072484000919481729	999	in stock	849.89 PLN
38	11072484000919481729	0	out of stock	899.89 PLN
39	11072484000919481729	999	in stock	699.89 PLN
40	11072484000919481729	0	out of stock	699.89 PLN
41	11072484000919481729	999	in stock	699.89 PLN
42	11072484000919481729	999	in stock	699.89 PLN
43	11072484000919481729	0	out of stock	549.89 PLN
44	11072484000919481729	999	in stock	599.89 PLN
45	11072484000919481729	999	in stock	549.89 PLN
46	11072484000919481729	0	out of stock	499.89 PLN
47	11072484000919481729	999	in stock	599.89 PLN
51	11072484000919481729	999	in stock	749 PLN
53	11072484000919481729	999	in stock	899.89 PLN
55	11072484000919481729	0	out of stock	199.89 PLN
56	11072484000919481729	999	in stock	199.89 PLN
86	11072484000919481729	999	in stock	81.89 PLN
90	11072484000919481729	999	in stock	81.89 PLN
92	11072484000919481729	999	in stock	121.89 PLN
96	11072484000919481729	999	in stock	134.89 PLN
99	11072484000919481729	999	in stock	99.99 PLN
108	11072484000919481729	999	in stock	149.89 PLN
146	11072484000919481729	999	in stock	74.89 PLN
149	11072484000919481729	999	in stock	188.89 PLN
151	11072484000919481729	999	in stock	188.89 PLN
153	11072484000919481729	0	out of stock	219 PLN
154	11072484000919481729	0	out of stock	219 PLN
155	11072484000919481729	999	in stock	229 PLN
156	11072484000919481729	999	in stock	229 PLN
157	11072484000919481729	999	in stock	229 PLN
158	11072484000919481729	999	in stock	229 PLN
159	11072484000919481729	999	in stock	229 PLN
160	11072484000919481729	999	in stock	229 PLN
172	11072484000919481729	999	in stock	104.89 PLN
175	11072484000919481729	999	in stock	89.89 PLN
177	11072484000919481729	999	in stock	309.89 PLN
202	11072484000919481729	999	in stock	599.89 PLN
203	11072484000919481729	999	in stock	39.89 PLN
204	11072484000919481729	999	in stock	29.89 PLN
215	11072484000919481729	999	in stock	34.89 PLN
217	11072484000919481729	999	in stock	44.99 PLN
218	11072484000919481729	0	out of stock	34.99 PLN
225	11072484000919481729	999	in stock	59.89 PLN
226	11072484000919481729	0	out of stock	69.89 PLN
227	11072484000919481729	999	in stock	1119.29 PLN
228	11072484000919481729	999	in stock	1462.15 PLN
229	11072484000919481729	0	out of stock	1518.57 PLN
230	11072484000919481729	0	out of stock	849.89 PLN
231	11072484000919481729	999	in stock	849.89 PLN
253	11072484000919481729	999	in stock	32.89 PLN
254	11072484000919481729	0	out of stock	28.89 PLN
255	11072484000919481729	0	out of stock	26.89 PLN
259	11072484000919481729	999	in stock	369.89 PLN
271	11072484000919481729	999	in stock	1558.89 PLN
275	11072484000919481729	999	in stock	2121.89 PLN
300	11072484000919481729	0	out of stock	1799.89 PLN
301	11072484000919481729	0	out of stock	1829.89 PLN
304	11072484000919481729	0	out of stock	1489.89 PLN
305	11072484000919481729	999	in stock	1269.89 PLN
306	11072484000919481729	999	in stock	1899.89 PLN
307	11072484000919481729	999	in stock	1699.89 PLN
308	11072484000919481729	999	in stock	1499.89 PLN
309	11072484000919481729	999	in stock	1169.89 PLN
311	11072484000919481729	999	in stock	1699.89 PLN
313	11072484000919481729	999	in stock	1699.89 PLN
314	11072484000919481729	999	in stock	1649.89 PLN
315	11072484000919481729	999	in stock	1699.89 PLN
316	11072484000919481729	999	in stock	1489.89 PLN
317	11072484000919481729	999	in stock	1409.89 PLN
318	11072484000919481729	999	in stock	1549.89 PLN
319	11072484000919481729	999	in stock	1499.89 PLN
320	11072484000919481729	999	in stock	1499.89 PLN
321	11072484000919481729	999	in stock	1489.89 PLN
322	11072484000919481729	999	in stock	1919.89 PLN
323	11072484000919481729	999	in stock	1514.89 PLN
324	11072484000919481729	999	in stock	2398.89 PLN
325	11072484000919481729	999	in stock	1514.89 PLN
327	11072484000919481729	999	in stock	2077.89 PLN
347	11072484000919481729	999	in stock	79.89 PLN
349	11072484000919481729	999	in stock	164.89 PLN
350	11072484000919481729	999	in stock	209.89 PLN
352	11072484000919481729	999	in stock	73.89 PLN
353	11072484000919481729	999	in stock	44.89 PLN
354	11072484000919481729	999	in stock	44.89 PLN
355	11072484000919481729	999	in stock	85.89 PLN
356	11072484000919481729	0	out of stock	79.89 PLN
357	11072484000919481729	999	in stock	84.89 PLN
358	11072484000919481729	999	in stock	109.89 PLN
359	11072484000919481729	999	in stock	42.89 PLN
362	11072484000919481729	999	in stock	3189 PLN
364	11072484000919481729	999	in stock	32.89 PLN
365	11072484000919481729	999	in stock	2.49 PLN
366	11072484000919481729	999	in stock	34.89 PLN
367	11072484000919481729	0	out of stock	34.89 PLN
369	11072484000919481729	999	in stock	34.89 PLN
370	11072484000919481729	999	in stock	34.89 PLN
371	11072484000919481729	999	in stock	359.89 PLN
372	11072484000919481729	999	in stock	59.89 PLN
373	11072484000919481729	999	in stock	68.89 PLN
385	11072484000919481729	999	in stock	19.89 PLN
388	11072484000919481729	999	in stock	34.89 PLN
398	11072484000919481729	0	out of stock	24.89 PLN
400	11072484000919481729	999	in stock	39.89 PLN
411	11072484000919481729	999	in stock	994.89 PLN
413	11072484000919481729	999	in stock	1269.89 PLN
415	11072484000919481729	999	in stock	1579.89 PLN
416	11072484000919481729	999	in stock	1709.89 PLN
